name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
getActivity/XXPermissions,5226,2018-06-15,59,4715,495,158,2647
mybatis/generator,5224,2013-02-10,11,72674,5064,1267,56501
lettuce-io/lettuce-core,5223,2014-05-10,112,82992,10524,2458,267860
jeecgboot/JimuReport,5184,2019-12-05,15,107,28,6,19
square/otto,5174,2012-06-27,0,1987,207,118,302
javaparser/javaparser,5162,2011-10-30,48,124278,16147,3407,552030
Jasonchenlijian/FastBle,5156,2016-08-23,9,4713,460,136,2737
ZHENFENG13/spring-boot-projects,5141,2017-04-01,0,2606,463,115,971
careercup/ctci,5120,2013-03-21,0,11244,609,348,1585
obsidiandynamics/kafdrop,5119,2019-05-27,47,3985,478,114,2816
opengoofy/hippo4j,5112,2021-06-16,18,27623,5117,1322,6420
razerdp/BasePopup,5107,2016-01-15,15,28287,3344,963,19479
zfdang/Android-Touch-Helper,5096,2020-10-16,112,2257,227,65,107
apache/flink-cdc,5091,2020-07-27,16,78658,10371,2066,37017
huangyanbin/smartTable,5083,2017-11-08,44,14165,1866,433,9438
